post_id,user_id,text
da63f7d1-7bee-4ff9-b627-4edd37bfaac0,user_0057,The traffic was pretty okay this morning.
e7e96487-ee74-4461-baf3-42721532bfb5,user_0073,I need to go to the store to buy some food.
3e698c29-16c1-42a6-8dc5-ea87459306b4,user_0023,The weather seems typical right now.
c76a926a-fb64-423e-9856-c4f08398e867,user_0019,What is everyone doing this weekend?
09de6918-afd3-4742-a409-120b65a80103,user_0068,I'm so happy with the results. Great job everyone!
44665dc8-d210-4e5d-bdbb-ea2a54847275,user_0007,Just finished my work for the day.
357d8708-67ea-487a-bebf-53309468d4ee,user_0009,Has anyone seen the latest movie about gamers?
dddb7ac3-1bd5-4969-b46a-cac7cd6775b8,user_0037,check this out
27279fa1-59eb-4b63-be71-d39478a27ab8,user_0047,Has anyone seen the latest movie about managers?
b3841a3b-e44d-425c-9366-4873229665df,user_0024,lol
3433a9ca-fc87-402a-ba55-83c27cf1f890,user_0033,check this out
347332d3-1780-497e-9874-1c053465ef24,user_0070,The weather seems okay right now.
dfd59f87-7558-4d9c-8e97-03c057eaabaa,user_0055,The weather seems typical right now.
2ac1f0fc-760e-4b69-98da-bca4554d9b3e,user_0031,The weather seems normal right now.
f15964ca-5edd-4651-9904-ac47b944987c,user_0089,cool link
855f93e5-368e-4938-981c-ee4aeee7744c,user_0032,What a brilliant day! I feel amazing.
82d6ea7d-b54e-4f64-bdca-adb8f2f6033a,user_0037,cool link
ef4e13b6-9b04-4db3-8029-b3e20c0f6a6b,user_0001,The weather seems average right now.
fd62634e-8c8c-4586-9182-c98103a77b13,user_0012,The traffic was pretty average this morning.
984c6e45-6edf-4792-b426-7268fc52a8a0,user_0037,ok
ab8b6999-3ed2-4136-b80b-2f5fd12c2a90,user_0061,I cannot believe how stupid this policy is. Fire everyone involved.
a046ea1c-7fb2-4789-a40d-20515bfcc7cf,user_0097,Has anyone seen the latest movie about tourists?
83cc37d7-bad0-4bd3-87f6-fe4e16de64a8,user_0033,lol
5ca4dc6d-47d4-49e8-ac2b-9c722c5bc8c0,user_0038,I need to go to the store to buy some food.
6c469f9b-30e0-4ead-b7ab-89de6c0bed22,user_0014,cool link
a45a33a2-97ca-4eb5-b77a-a5d91b9390b7,user_0024,wow
74ec4bd8-026f-40a8-a056-ee7feefbc74b,user_0006,What a brilliant day! I feel amazing.
98fa6895-5843-435e-85d2-132dd9ff49a0,user_0033,nice
1d1cce3c-3f4e-46d2-9fc7-df003de35cc2,user_0038,cool link
70e0985c-720e-40b5-bb47-55e3387e4424,user_0054,The traffic was pretty okay this morning.
efaf3710-f152-4f02-af13-4eed486c874a,user_0044,lol
e18abba3-0cf8-4f97-a7ac-bbc2ef4a8556,user_0033,I'm thinking about getting a car later today.
e93d710e-eada-4ec4-bb7a-a7cadbd8275a,user_0032,Just finished my work for the day.
4822f6b6-8a9d-4331-8599-8b0b37dc996a,user_0091,The weather seems average right now.
d81b7ad9-d519-4964-a9df-a2457c0083eb,user_0092,Just finished my work for the day.
5f786e7e-e117-4b27-a814-90d6fa34fa43,user_0071,This whole project is a complete failure. What a waste of time.
